model_name,RL1,RL2,L2RE,MaxE,MSE,RMSE
MIX_10000_Tanh_0.1,0.7649122577218811,0.7595648913753272,2.9999983272622543,0.8078765690892319,0.0526336599641743,0.10862912314054052
MIX_10000_Tanh_0.1,0.7649122577218811,0.7595648913753272,2.9999983272622543,0.8078765690892319,0.0526336599641743,0.10862912314054052
MIX_10000_Tanh_0.1,0.7649122577218811,0.7595648913753272,2.9999983272622543,0.8078765690892319,0.0526336599641743,0.10862912314054052
MIX_1000_Tanh_0.1,0.7417879892310223,0.619936439510372,2.2180495255775163,0.4021997844340244,0.035212246207113954,0.10567429455715012
MIX_2000_Tanh_0.1,0.7148208324420058,0.6487420188766118,1.485527715955746,0.3952088320084973,0.03856057101719933,0.10183258329832327
MIX_10000_Tanh_0.1,0.7864008133811422,0.7538178908605476,2.661616458290115,0.3967680208054781,0.052063370680268464,0.1120297880252411
MIX_1000_Tanh_0.1,0.7280957441239009,0.6565966507903079,11.188682391385194,0.4132609701552823,0.03949996644508096,0.10372371249919768
MIX_10000_Tanh_0.1,0.4967477429476943,0.6524585417417428,,0.37336054422667225,0.03900364928708767,0.07076613273729564
MIX_30000_Tanh_0.1,0.4898672020036854,0.6502380067114097,211.5149182118714,0.3736022888510986,0.03873861608007131,0.06978593850257439
DFVM_10000_Tanh_0.1,0.786090368300254,0.8187012941774908,74.90542441588296,0.3986599735091014,0.06141159176439951,0.11198556236319503
DFVM_30000_Tanh_0.1,0.9136809498787166,0.9190600877824403,24086.43870058761,0.5340173429937478,0.0773904216905518,0.13016197516062764
PINNs_10000_Tanh_0.1,0.582360930868061,0.5837933681876581,1.316800926684691,0.3540056934213647,0.031226097740824216,0.08296249257274162
PINNs_30000_Tanh_0.1,0.5931742682688551,0.6128897504636343,1.3245234084657422,0.3556359096513122,0.034416295157262154,0.08450294863057284
MIX_10000_Tanh_0.1,0.49390354637475026,0.6432654607840579,205.13024582030744,0.3777004196057176,0.03791227683070638,0.07036095164675345
DFVM_10000_Tanh_0.1,0.764585149641117,0.7971133297604079,64.98593429579297,0.4085561752804153,0.05821562224722335,0.10892195275493294
PINNs_10000_Tanh_0.1,0.582360930868061,0.5837933681876581,1.316800926684691,0.3540056934213647,0.031226097740824216,0.08296249257274162
DFVM_100_Tanh_0.1,1.407349177714735,1.00303302811369,1.176405061495573,0.4433553019121951,0.09217854911472831,0.20048940358924094
MIX_100_Tanh_0.1,0.994800555225694,0.6841917698436009,0.9674477637901605,0.3860995178783377,0.042889905755489614,0.14171818420451193
MIX_30000_Tanh_0.1,0.4941336426028639,0.6550632313710325,761.075581536025,0.3733702041536685,0.03931568500605295,0.07039373090031265
MIX_10000_Tanh_0.1_256_all,0.512114870465133,0.6512659157787394,76.00722184277767,0.3768062746179437,0.03886119042440635,0.0729553166865512
MIX_region_10000_Tanh_0.1_256_all,0.512114870465133,0.6512659157787394,76.00722184277767,0.3768062746179437,0.03886119042440635,0.0729553166865512
