model_name,RL1,RL2,L2RE,MaxE,MSE,RMSE
DFVM_10000_Sigmoid_0.1,0.06271261154399792,0.24888717015344772,2274.65966796875,0.49718719720840454,0.04645254462957382,0.0470283105969429
MIX_10000_Tanh_0.1,0.008267385587025602,0.05492886132788858,0.2520607113838196,0.3150428533554077,0.0022625888232141733,0.006199728697538376
DFVM_30000_Sigmoid_0.1,0.07700745925117838,0.2760332796289441,,0.4968823790550232,0.057138312608003616,0.05774804577231407
MIX_30000_Tanh_0.1,0.008180624843344992,0.06663062372048466,0.2889258563518524,0.39721882343292236,0.0033292947337031364,0.0061346665024757385
DFVM_50000_Sigmoid_0.1,0.06664656391842429,0.2554835581067534,2223.327880859375,0.49643203616142273,0.04894748702645302,0.049978386610746384
MIX_50000_Tanh_0.1,0.0065963536465868085,0.06472406614933918,,0.4154215157032013,0.003141492372378707,0.004946618806570768
DFVM_100000_Sigmoid_0.1,0.06968917694758359,0.26093109046264634,2019.5972900390625,0.4965316951274872,0.05105710029602051,0.05226005241274834
PINNs_10000_Tanh_0.1,0.12047324637825525,0.14509885924197405,0.32189393043518066,0.32071033120155334,0.01578819379210472,0.09034313261508942
PINNs_30000_Tanh_0.1,0.13253730277065873,0.1459574947901491,0.3257202208042145,0.3000211715698242,0.015975603833794594,0.09938997775316238
MIX_100000_Tanh_0.1,0.011422418175037712,0.0941865692460839,,0.4464446008205414,0.006652462761849165,0.008565694093704224
MIX_10000_ReLU_0.1,0.3604675890812283,0.3915809412214464,1.0869262218475342,0.6452003717422485,0.11498669534921646,0.27031537890434265
PINNs_50000_Tanh_0.1,0.12034843620026694,0.24635308521295685,0.2680753469467163,0.4490058422088623,0.045511435717344284,0.09024953097105026
MIX_30000_ReLU_0.1,0.3604675890812283,0.3915809412214464,1.0869262218475342,0.6452003717422485,0.11498669534921646,0.27031537890434265
MIX_50000_ReLU_0.1,0.3604675890812283,0.3915809412214464,1.0869262218475342,0.6452003717422485,0.11498669534921646,0.27031537890434265
PINNs_100000_Tanh_0.1,0.04113769558618387,0.08504121112688433,0.28269484639167786,0.4088125228881836,0.005423296708613634,0.030849242582917213
PINNs_10000_ReLU_0.1,0.2991255104664498,0.3206631458032286,0.5829322338104248,0.531313955783844,0.07710856199264526,0.22431480884552002
PINNs_30000_ReLU_0.1,0.2991255104664498,0.3206631458032286,0.5829322338104248,0.531313955783844,0.07710856199264526,0.22431480884552002
PINNs_50000_ReLU_0.1,0.2991255104664498,0.3206631458032286,0.5829322338104248,0.531313955783844,0.07710856199264526,0.22431480884552002
MIX_100000_ReLU_0.1,0.3604675890812283,0.3915809412214464,1.0869262218475342,0.6452003717422485,0.11498669534921646,0.27031537890434265
MIX_10000_Sigmoid_0.1,0.008656720275966895,0.08877348590550437,10.141907691955566,0.474772185087204,0.0059097763150930405,0.0064916908740997314
MIX_30000_Sigmoid_0.1,0.015405597194354545,0.12176925274860081,0.25013214349746704,0.46386614441871643,0.01111935917288065,0.011552687734365463
PINNs_100000_ReLU_0.1,0.2991255104664498,0.3206631458032286,0.5829322338104248,0.531313955783844,0.07710856199264526,0.22431480884552002
PINNs_10000_Sigmoid_0.1,0.15904147665437074,0.1680185092663199,0.346736341714859,0.31822896003723145,0.02116989530622959,0.11926550418138504
PINNs_30000_Sigmoid_0.1,0.15964620762286014,0.16381913149996521,0.35187381505966187,0.3122611343860626,0.020124901086091995,0.119718998670578
MIX_50000_Sigmoid_0.1,0.009190682973338315,0.0928635742512788,378.0547180175781,0.4743458330631256,0.006466886959969997,0.006892111152410507
DFVM_10000_Tanh_0.1,0.01720007651057963,0.09453331992586861,0.2527543902397156,0.4232332110404968,0.0067015355452895164,0.012898370623588562
PINNs_50000_Sigmoid_0.1,0.13775450264614827,0.13923527784607873,0.3492260277271271,0.30692994594573975,0.014537946321070194,0.10330238193273544
DFVM_30000_Tanh_0.1,0.1399312236157386,0.371078926074094,,0.500840425491333,0.10326117277145386,0.1049347072839737
DFVM_50000_Tanh_0.1,0.22450800507977303,0.4712317477473038,,0.510367751121521,0.1665227711200714,0.16835899651050568
DFVM_10000_ReLU_0.1,0.42998145970293206,0.49539425954973776,3.2418458461761475,0.6387125253677368,0.18403753638267517,0.3224439322948456
DFVM_30000_ReLU_0.1,0.21754436570755467,0.2772367644231872,0.656029224395752,0.42914584279060364,0.057637639343738556,0.16313694417476654
DFVM_50000_ReLU_0.1,0.21754436570755467,0.2772367644231872,0.656029224395752,0.42914584279060364,0.057637639343738556,0.16313694417476654
DFVM_10000_Sigmoid_0.2,0.06271261154399792,0.24888717015344772,2274.65966796875,0.49718719720840454,0.04645254462957382,0.0470283105969429
MIX_10000_Tanh_0.2,0.020458422477225208,0.13531402422408423,2.9959824085235596,0.49866071343421936,0.013730618171393871,0.015341810882091522
DFVM_30000_Sigmoid_0.2,0.07700745925117838,0.2760332796289441,,0.4968823790550232,0.057138312608003616,0.05774804577231407
MIX_30000_Tanh_0.2,0.04528262238065543,0.2107288459256026,,0.49582546949386597,0.03330063074827194,0.033957529813051224
DFVM_50000_Sigmoid_0.2,0.06664656391842429,0.2554835581067534,2223.327880859375,0.49643203616142273,0.04894748702645302,0.049978386610746384
PINNs_10000_Tanh_0.2,0.12047324637825525,0.14509885924197405,0.32189393043518066,0.32071033120155334,0.01578819379210472,0.09034313261508942
MIX_50000_Tanh_0.2,0.016628016592486278,0.09345227798712905,,0.37078857421875,0.006549139507114887,0.012469382956624031
MIX_10000_Sigmoid_0.2,0.03858547082578143,0.19455536637662554,346.645751953125,0.4974727928638458,0.02838512882590294,0.028935318812727928
PINNs_30000_Tanh_0.2,0.13253730277065873,0.1459574947901491,0.3257202208042145,0.3000211715698242,0.015975603833794594,0.09938997775316238
MIX_30000_Sigmoid_0.2,0.04303742404397727,0.2061310701692729,21560.5234375,0.49749937653541565,0.03186335042119026,0.03227384760975838
PINNs_50000_Tanh_0.2,0.12034843620026694,0.24635308521295685,0.2680753469467163,0.4490058422088623,0.045511435717344284,0.09024953097105026
PINNs_10000_Sigmoid_0.2,0.15904147665437074,0.1680185092663199,0.346736341714859,0.31822896003723145,0.02116989530622959,0.11926550418138504
PINNs_30000_Sigmoid_0.2,0.15964620762286014,0.16381913149996521,0.35187381505966187,0.3122611343860626,0.020124901086091995,0.119718998670578
MIX_50000_Sigmoid_0.2,0.06310835990231409,0.250061849223301,115402.296875,0.49674996733665466,0.046892065554857254,0.04732508212327957
DFVM_10000_Tanh_0.2,0.01720007651057963,0.09453331992586861,0.2527543902397156,0.4232332110404968,0.0067015355452895164,0.012898370623588562
PINNs_50000_Sigmoid_0.2,0.13775450264614827,0.13923527784607873,0.3492260277271271,0.30692994594573975,0.014537946321070194,0.10330238193273544
DFVM_30000_Tanh_0.2,0.1399312236157386,0.371078926074094,,0.500840425491333,0.10326117277145386,0.1049347072839737
DFVM_50000_Tanh_0.2,0.22450800507977303,0.4712317477473038,,0.510367751121521,0.1665227711200714,0.16835899651050568
MIX_10000_Tanh_0.1,0.008267385587025602,0.05492886132788858,0.2520607113838196,0.3150428533554077,0.0022625888232141733,0.006199728697538376
MIX_30000_Tanh_0.1,0.008180624843344992,0.06663062372048466,0.2889258563518524,0.39721882343292236,0.0033292947337031364,0.0061346665024757385
MIX_50000_Tanh_0.1,0.0065963536465868085,0.06472406614933918,,0.4154215157032013,0.003141492372378707,0.004946618806570768
MIX_10000_ReLU_0.1,0.3604675890812283,0.3915809412214464,1.0869262218475342,0.6452003717422485,0.11498669534921646,0.27031537890434265
MIX_30000_ReLU_0.1,0.3604675890812283,0.3915809412214464,1.0869262218475342,0.6452003717422485,0.11498669534921646,0.27031537890434265
MIX_50000_ReLU_0.1,0.3604675890812283,0.3915809412214464,1.0869262218475342,0.6452003717422485,0.11498669534921646,0.27031537890434265
MIX_10000_Sigmoid_0.1,0.008656720275966895,0.08877348590550437,10.141907691955566,0.474772185087204,0.0059097763150930405,0.0064916908740997314
MIX_30000_Sigmoid_0.1,0.015405597194354545,0.12176925274860081,0.25013214349746704,0.46386614441871643,0.01111935917288065,0.011552687734365463
MIX_50000_Sigmoid_0.1,0.009190682973338315,0.0928635742512788,378.0547180175781,0.4743458330631256,0.006466886959969997,0.006892111152410507
DFVM_10000_Tanh_0.1,0.01720007651057963,0.09453331992586861,0.2527543902397156,0.4232332110404968,0.0067015355452895164,0.012898370623588562
DFVM_30000_Tanh_0.1,0.1399312236157386,0.371078926074094,,0.500840425491333,0.10326117277145386,0.1049347072839737
DFVM_50000_Tanh_0.1,0.22450800507977303,0.4712317477473038,,0.510367751121521,0.1665227711200714,0.16835899651050568
